vida,altura,peso,inteligencia,raca,cod. raca,,vida,altura,peso,inteligencia,,,vida (max),altura (max),peso (max),inteligencia (max)
0.8000,0.3514,0.1053,1.0000,pintcher,1,,12,26,4,5,,,15,74,38,5
0.8000,0.3514,0.1316,1.0000,pintcher,1,,12,26,5,5,,,15,74,38,5
0.8000,0.3514,0.1579,1.0000,pintcher,1,,12,26,6,5,,,15,74,38,5
0.8000,0.3649,0.1053,1.0000,pintcher,1,,12,27,4,5,,,15,74,38,5
0.8000,0.3649,0.1316,1.0000,pintcher,1,,12,27,5,5,,,15,74,38,5
0.8000,0.3649,0.1579,1.0000,pintcher,1,,12,27,6,5,,,15,74,38,5
0.8000,0.3784,0.1053,1.0000,pintcher,1,,12,28,4,5,,,15,74,38,5
0.8000,0.3784,0.1316,1.0000,pintcher,1,,12,28,5,5,,,15,74,38,5
0.8000,0.3784,0.1579,1.0000,pintcher,1,,12,28,6,5,,,15,74,38,5
0.8667,0.3514,0.1053,1.0000,pintcher,1,,13,26,4,5,,,15,74,38,5
0.8667,0.3514,0.1316,1.0000,pintcher,1,,13,26,5,5,,,15,74,38,5
0.8667,0.3514,0.1579,1.0000,pintcher,1,,13,26,6,5,,,15,74,38,5
0.8667,0.3649,0.1053,1.0000,pintcher,1,,13,27,4,5,,,15,74,38,5
0.8667,0.3649,0.1316,1.0000,pintcher,1,,13,27,5,5,,,15,74,38,5
0.8667,0.3649,0.1579,1.0000,pintcher,1,,13,27,6,5,,,15,74,38,5
0.8667,0.3784,0.1053,1.0000,pintcher,1,,13,28,4,5,,,15,74,38,5
0.8667,0.3784,0.1316,1.0000,pintcher,1,,13,28,5,5,,,15,74,38,5
0.8667,0.3784,0.1579,1.0000,pintcher,1,,13,28,6,5,,,15,74,38,5
0.9333,0.3514,0.1053,1.0000,pintcher,1,,14,26,4,5,,,15,74,38,5
0.9333,0.3514,0.1316,1.0000,pintcher,1,,14,26,5,5,,,15,74,38,5
0.9333,0.3514,0.1579,1.0000,pintcher,1,,14,26,6,5,,,15,74,38,5
0.9333,0.3649,0.1053,1.0000,pintcher,1,,14,27,4,5,,,15,74,38,5
0.9333,0.3649,0.1316,1.0000,pintcher,1,,14,27,5,5,,,15,74,38,5
0.9333,0.3649,0.1579,1.0000,pintcher,1,,14,27,6,5,,,15,74,38,5
0.9333,0.3784,0.1053,1.0000,pintcher,1,,14,28,4,5,,,15,74,38,5
0.9333,0.3784,0.1316,1.0000,pintcher,1,,14,28,5,5,,,15,74,38,5
0.9333,0.3784,0.1579,1.0000,pintcher,1,,14,28,6,5,,,15,74,38,5
0.8667,0.4730,0.4737,0.8000,beagle,2,,13,35,18,4,,,15,74,38,5
0.8667,0.4730,0.6842,0.8000,beagle,2,,13,35,26,4,,,15,74,38,5
0.8667,0.4730,0.8947,0.8000,beagle,2,,13,35,34,4,,,15,74,38,5
0.8667,0.4865,0.4737,0.8000,beagle,2,,13,36,18,4,,,15,74,38,5
0.8667,0.4865,0.6842,0.8000,beagle,2,,13,36,26,4,,,15,74,38,5
0.8667,0.4865,0.8947,0.8000,beagle,2,,13,36,34,4,,,15,74,38,5
0.8667,0.5000,0.4737,0.8000,beagle,2,,13,37,18,4,,,15,74,38,5
0.8667,0.5000,0.6842,0.8000,beagle,2,,13,37,26,4,,,15,74,38,5
0.8667,0.5000,0.8947,0.8000,beagle,2,,13,37,34,4,,,15,74,38,5
0.9333,0.4730,0.4737,0.8000,beagle,2,,14,35,18,4,,,15,74,38,5
0.9333,0.4730,0.6842,0.8000,beagle,2,,14,35,26,4,,,15,74,38,5
0.9333,0.4730,0.8947,0.8000,beagle,2,,14,35,34,4,,,15,74,38,5
0.9333,0.4865,0.4737,0.8000,beagle,2,,14,36,18,4,,,15,74,38,5
0.9333,0.4865,0.6842,0.8000,beagle,2,,14,36,26,4,,,15,74,38,5
